呼應	verb echo; work in concert with	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">互相呼應</td><td style="width: 33.3333%;">echo each other</td><td style="width: 33.3333%;">hùxiāng hūyìng</td></tr></tbody></table>	呼應
旨意	noun decree; order	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">你這樣做是奉誰的旨意？</td><td style="width: 33.3333%;">On whose orders are you doing this?</td><td style="width: 33.3333%;">Nǐ zhèyàng zuò shì fèng shuí de zhǐyì？</td></tr></tbody></table>	旨意
莊稼	noun crops	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">晚莊稼</td><td style="width: 33.3333%;">late crops</td><td style="width: 33.3333%;">wǎnzhuāngjia</td></tr><tr><td style="width: 33.3333%;">種莊稼</td><td style="width: 33.3333%;">grow (or plant) crops</td><td style="width: 33.3333%;">zhòng zhuāngjia</td></tr></tbody></table>	莊稼
顯示器	noun display	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">純平顯示器</td><td style="width: 33.3333%;">CRT (or cathode ray tube) display</td><td style="width: 33.3333%;">chúnpíng xiǎnshìqì</td></tr><tr><td style="width: 33.3333%;">液晶顯示器</td><td style="width: 33.3333%;">LCD (liquid crystal display)</td><td style="width: 33.3333%;">yèjīngxiǎnshìqì</td></tr></tbody></table>	顯示器
鬆綁	verb 1 untie a person 2 figurative relax restrictions; untie; unfetter	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">給囚犯鬆綁</td><td style="width: 33.3333%;">untie the prisoner</td><td style="width: 33.3333%;">gěi qiúfàn sōngbǎng</td></tr><tr><td style="width: 33.3333%;">給教學鬆綁</td><td style="width: 33.3333%;">give more freedom to teaching</td><td style="width: 33.3333%;">Gěi jiàoxué sōngbǎng</td></tr></tbody></table>	鬆綁
兩造	noun 1 law both parties in a lawsuit; both plaintiff and defendant 2 dialect two crops	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">改一年兩造為一年三造</td><td style="width: 33.3333%;">change from two crops a year to three</td><td style="width: 33.3333%;">gǎi yī nián liǎng zào wéi yī nián sān zào</td></tr></tbody></table>	兩造
管控	verb manage and control; control	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">嚴加管控</td><td style="width: 33.3333%;">tighten the control (of)</td><td style="width: 33.3333%;">Yánjiā guǎnkòng</td></tr><tr><td style="width: 33.3333%;">人事部經理的職責包括策劃, 管控和協調人事活動。</td><td style="width: 33.3333%;">Personnel Manager’s duties include planning, managing, controlling and coordinating personnel activities.</td><td style="width: 33.3333%;">rénshìbù jīnglǐ de zhízé bāokuò cèhuà, guǎnkòng héxié diàorén shì huódòng.</td></tr></tbody></table>	管控
賠償	noun 1 reparations (by a defeated state) 2 compensation; amends<br>verb make good a loss; compensate; indemnify	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">實物賠償</td><td style="width: 33.3333%;">reparations in kind</td><td style="width: 33.3333%;">shíwù péicháng</td></tr><tr><td style="width: 33.3333%;">戰爭賠償</td><td style="width: 33.3333%;">war reparations; war indemnity</td><td style="width: 33.3333%;">zhànzhēng péicháng</td></tr><tr><td style="width: 33.3333%;">經濟賠償</td><td style="width: 33.3333%;">financial compensation</td><td style="width: 33.3333%;">jīngjì péicháng</td></tr><tr><td style="width: 33.3333%;">賠償損失</td><td style="width: 33.3333%;">compensate (or pay) for a loss</td><td style="width: 33.3333%;">péicháng sǔnshī</td></tr><tr><td style="width: 33.3333%;">照價賠償</td><td style="width: 33.3333%;">compensate according to the cost</td><td style="width: 33.3333%;">zhào jià péicháng</td></tr><tr><td style="width: 33.3333%;">保留要求賠償的權利</td><td style="width: 33.3333%;">reserve the right to demand compensation for the losses</td><td style="width: 33.3333%;">bǎoliú yāoqiú péicháng de quánlì</td></tr><tr><td style="width: 33.3333%;">對工傷者給予賠償</td><td style="width: 33.3333%;">compensate workers for on-the-job injuries</td><td style="width: 33.3333%;">Duì gōngshāng zhě jǐyǔ péicháng</td></tr><tr><td style="width: 33.3333%;">對遇難者親屬承擔經濟上的賠償</td><td style="width: 33.3333%;">to indemnify the victim’s family</td><td style="width: 33.3333%;">duì yùnàn zhě qīnshǔ chéngdān jīngjì shàng de péicháng</td></tr></tbody></table>	賠償
信賴	verb trust; count on; have faith in	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">她是個值得信賴的人。</td><td style="width: 33.3333%;">She’s a trustworthy person.</td><td style="width: 33.3333%;">tā shì ge zhídexìnlài de rén.</td></tr></tbody></table>	信賴
器材	noun equipment; material	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">線路器材</td><td style="width: 33.3333%;">line materials</td><td style="width: 33.3333%;">xiànlù qìcái</td></tr><tr><td style="width: 33.3333%;">照相器材</td><td style="width: 33.3333%;">photographic equipment</td><td style="width: 33.3333%;">zhàoxiàng qìcái</td></tr></tbody></table>	器材
印尼	Indonesia (abbr. for 印度尼西亞)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody></tbody></table>	印尼
遷都	verb move the capital to another place	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">明成祖遷都北京。</td><td style="width: 33.3333%;">Emperor Cheng Zu of the Ming Dynasty moved the capital to Beijing.</td><td style="width: 33.3333%;">Míng chéng zǔ qiāndū Běijīng.</td></tr></tbody></table>	遷都
沉沒	verb sink; founder	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">軍艦被魚雷擊中, 立即沉沒。</td><td style="width: 33.3333%;">The warship was torpedoed and sank at once.</td><td style="width: 33.3333%;">Jūnjiàn bèi yúléi jīzhòng, lìjí chénmò.</td></tr><tr><td style="width: 33.3333%;">漁船於暴風雨中沉沒。</td><td style="width: 33.3333%;">The fishing boat foundered in a hurricane.</td><td style="width: 33.3333%;">Yúchuán yú bàofēngyǔ zhōng chénmò.</td></tr></tbody></table>	沉沒
熟	adjective 1 ripe (opp. 生) 2 cooked; done (opp. 生) 3 processed (opp. 生) 4 familiar; well acquainted (opp. 生)  5 skilled; experienced; practised (opp. 生) 6 (of a sleep) deep; sound	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">一年兩熟</td><td style="width: 33.3333%;">two crops a year</td><td style="width: 33.3333%;">yīniánliǎngshú</td></tr><tr><td style="width: 33.3333%;">西紅柿熟了。</td><td style="width: 33.3333%;">The tomatoes are ripe.</td><td style="width: 33.3333%;">Xīhóngshì shú le.</td></tr><tr><td style="width: 33.3333%;">熟肉</td><td style="width: 33.3333%;">cooked meat</td><td style="width: 33.3333%;">shúròu</td></tr><tr><td style="width: 33.3333%;">飯熟了。</td><td style="width: 33.3333%;">The rice is done.</td><td style="width: 33.3333%;">Fàn shú le.</td></tr><tr><td style="width: 33.3333%;">熟皮子</td><td style="width: 33.3333%;">tanned leather</td><td style="width: 33.3333%;">shú pízi</td></tr><tr><td style="width: 33.3333%;">我跟他很熟。</td><td style="width: 33.3333%;">I’m on familiar terms with him.</td><td style="width: 33.3333%;">wǒ gēn tā hěn shú.</td></tr><tr><td style="width: 33.3333%;">這條路他最熟。</td><td style="width: 33.3333%;">He knows this route best.</td><td style="width: 33.3333%;">Zhè tiáo lù tā zuì shú.</td></tr><tr><td style="width: 33.3333%;">這個地方我很熟。</td><td style="width: 33.3333%;">I’m familiar with this place.</td><td style="width: 33.3333%;">Zhège dìfang wǒ hěn shú.</td></tr><tr><td style="width: 33.3333%;">這口音聽起來很熟。</td><td style="width: 33.3333%;">The voice sounds familiar.</td><td style="width: 33.3333%;">Zhè kǒuyin tīng qǐlai hěn shú.</td></tr><tr><td style="width: 33.3333%;">熟精</td><td style="width: 33.3333%;">be versed in sth.</td><td style="width: 33.3333%;">shújīng</td></tr><tr><td style="width: 33.3333%;">睡得很熟</td><td style="width: 33.3333%;">sleep soundly</td><td style="width: 33.3333%;">Shuì de hěn shú</td></tr></tbody></table>	熟
收割	verb reap; harvest; gather in	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">收割小麥</td><td style="width: 33.3333%;">gather in the wheat; harvest wheat</td><td style="width: 33.3333%;">shōugē xiǎomài</td></tr></tbody></table>	收割
通融	verb 1 stretch rules, get around regulations, etc., to accommodate; make an exception 2 accommodate sb. with a short-term loan	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">這事可以通融。</td><td style="width: 33.3333%;">We can make an exception in this case.</td><td style="width: 33.3333%;">Zhè shì kěyǐ tōngrong.</td></tr><tr><td style="width: 33.3333%;">我想跟你通融二十塊錢。</td><td style="width: 33.3333%;">I wonder if you can lend me 20 yuan.</td><td style="width: 33.3333%;">Wǒ xiǎng gēn nǐ tōngrong èrshí kuài qián.</td></tr></tbody></table>	通融
反饋	noun 1 electronics feedback 2 feedback; response<br>verb provide feedback (or a response)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">正反饋</td><td style="width: 33.3333%;">positive feedback</td><td style="width: 33.3333%;">zhèngfǎnkuì</td></tr><tr><td style="width: 33.3333%;">負反饋</td><td style="width: 33.3333%;">negative feedback</td><td style="width: 33.3333%;">fùfǎnkuì</td></tr><tr><td style="width: 33.3333%;">消費者對產品的反饋</td><td style="width: 33.3333%;">consumers' feedback on products</td><td style="width: 33.3333%;">Xiāofèizhě duì chǎnpǐn defǎnkuì</td></tr></tbody></table>	反饋
曖昧	adjective 1 ambiguous; equivocal 2 shady; dubious	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">態度曖昧</td><td style="width: 33.3333%;">be ambiguous</td><td style="width: 33.3333%;">tàidu àimèi</td></tr><tr><td style="width: 33.3333%;">不用曖昧的詞語</td><td style="width: 33.3333%;">avoid ambiguity; use clear language</td><td style="width: 33.3333%;">bùyòng àimèi de cíyǔ</td></tr><tr><td style="width: 33.3333%;">與某人關係曖昧</td><td style="width: 33.3333%;">have a dubious relationship with sb.</td><td style="width: 33.3333%;">yǔ mǒurén guānxi'àimèi</td></tr></tbody></table>	曖昧
迎	verb 1 go to meet; greet; welcome; receive 2 move towards; meet face to face	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">迎上前去同客人握手</td><td style="width: 33.3333%;">step forward to greet the guest and shake hands with him</td><td style="width: 33.3333%;">yíng shàng qián qù tóng kèren wòshǒu</td></tr><tr><td style="width: 33.3333%;">喜迎新春</td><td style="width: 33.3333%;">joyously see in the lunar New Year</td><td style="width: 33.3333%;">xǐ yíng xīnchūn</td></tr><tr><td style="width: 33.3333%;">到門口去迎客</td><td style="width: 33.3333%;">go to meet a visitor at the gate</td><td style="width: 33.3333%;">dào ménkǒu qù yíng kè</td></tr><tr><td style="width: 33.3333%;">迎著困難上</td><td style="width: 33.3333%;">meet difficulties head-on</td><td style="width: 33.3333%;">yíng zhe kùnnan shàng</td></tr></tbody></table>	迎
好轉	verb take a turn for the better; take a favourable turn; improve	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">病情好轉。</td><td style="width: 33.3333%;">The patient is on the mend.</td><td style="width: 33.3333%;">Bìngqíng hǎozhuǎn.</td></tr><tr><td style="width: 33.3333%;">形勢好轉。</td><td style="width: 33.3333%;">The situation took a favourable turn.</td><td style="width: 33.3333%;">Xíngshì hǎozhuǎn.</td></tr></tbody></table>	好轉
瘸腿	adjective colloquial lame	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">瘸腿的人</td><td style="width: 33.3333%;">lame person; cripple</td><td style="width: 33.3333%;">Quétuǐ de rén</td></tr></tbody></table>	瘸腿
痊癒	verb fully recover from an illness; be fully recovered	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">她還沒有痊癒。</td><td style="width: 33.3333%;">She’s not recovered yet.</td><td style="width: 33.3333%;">Tā hái méiyǒu quányù.</td></tr><tr><td style="width: 33.3333%;">希望你早日痊癒。</td><td style="width: 33.3333%;">I wish you a speedy recovery.</td><td style="width: 33.3333%;">Xīwàng nǐ zǎorì quányù.</td></tr><tr><td style="width: 33.3333%;">傷口痊癒後, 他又返回了前線。</td><td style="width: 33.3333%;">After his wound healed, he went back to the front.</td><td style="width: 33.3333%;">Shāngkǒu quányù hòu, tā yòu fǎnhuí le qiánxiàn.</td></tr></tbody></table>	痊癒
殿	noun hall; palace; temple<br>verb bring up the rear	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">太和殿</td><td style="width: 33.3333%;">the Hall of Supreme Harmony (in the former Imperial Palace)</td><td style="width: 33.3333%;">tàihé diàn</td></tr><tr><td style="width: 33.3333%;">殿其退軍</td><td style="width: 33.3333%;">at the rear to protect the retreating army</td><td style="width: 33.3333%;">diàn qí tuì jūn</td></tr></tbody></table>	殿
崛起	verb literary 1 (of a mountain, etc.) rise abruptly; suddenly appear on the horizon 2 rise to prominence	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">大國的崛起</td><td style="width: 33.3333%;">the rise of great powers</td><td style="width: 33.3333%;">dàguó dejuéqǐ</td></tr></tbody></table>	崛起
根據	noun basis; grounds; foundation<br>preposition on the basis of; according to; in the light of; in line with	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">毫無根據</td><td style="width: 33.3333%;">utterly groundless</td><td style="width: 33.3333%;">Háowú gēnjù</td></tr><tr><td style="width: 33.3333%;">科學根據</td><td style="width: 33.3333%;">scientific basis</td><td style="width: 33.3333%;">kēxué gēnjù</td></tr><tr><td style="width: 33.3333%;">說話要有根據。</td><td style="width: 33.3333%;">One should avoid making assertions without good grounds.</td><td style="width: 33.3333%;">Shuōhuà yào yǒu gēnjù.</td></tr><tr><td style="width: 33.3333%;">根據公報的精神</td><td style="width: 33.3333%;">in the spirit of the communique</td><td style="width: 33.3333%;">gēnjù gōngbào de jīngshén</td></tr><tr><td style="width: 33.3333%;">根據這樣的考慮</td><td style="width: 33.3333%;">in line with these considerations</td><td style="width: 33.3333%;">Gēnjù zhèyàng de kǎolǜ</td></tr><tr><td style="width: 33.3333%;">根據具體情況制訂計劃</td><td style="width: 33.3333%;">make a plan in the light of specific conditions</td><td style="width: 33.3333%;">gēnjù jùtǐ qíngkuàng zhìdìng jìhuà</td></tr><tr><td style="width: 33.3333%;">根據同名小說拍攝的影片</td><td style="width: 33.3333%;">a film based on the novel of the same title</td><td style="width: 33.3333%;">gēnjù tóngmíng xiǎoshuō pāishè de yǐngpiàn</td></tr><tr><td style="width: 33.3333%;">根據天氣預報, 明天要下雨。</td><td style="width: 33.3333%;">According to the weather forecast, it’s going to rain tomorrow.</td><td style="width: 33.3333%;">Gēnjù tiānqì yùbào, míngtiān yào xià yǔ.</td></tr></tbody></table>	根據
平權	verb (enjoy) equal rights	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">男女平權</td><td style="width: 33.3333%;">equal rights for men and women</td><td style="width: 33.3333%;">Nán nǚ píng quán</td></tr></tbody></table>	平權
評比	verb appraise through comparison; compare and assess	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">評比產品質量</td><td style="width: 33.3333%;">compare and appraise the quality of different products; make a public appraisal of the product quality</td><td style="width: 33.3333%;">píngbǐ chǎnpǐn zhìliàng</td></tr></tbody></table>	評比
一向	noun a period of time in the past; lately<br>adverb consistently; all along	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">前一向雨水多。</td><td style="width: 33.3333%;">There was quite a lot of rain earlier on.</td><td style="width: 33.3333%;">Qián yī xiàng yǔshuǐ duō.</td></tr><tr><td style="width: 33.3333%;">這一向進步不小吧？</td><td style="width: 33.3333%;">You must have made a lot of progress lately.</td><td style="width: 33.3333%;">Zhè yī xiàng jìnbù bù xiǎo ba？</td></tr><tr><td style="width: 33.3333%;">她對工作一向認真負責。</td><td style="width: 33.3333%;">She’s always been conscientious in her work.</td><td style="width: 33.3333%;">Tā duì gōngzuò yīxiàng rènzhēn fùzé.</td></tr></tbody></table>	一向
建國	verb 1 found (or establish) a state 2 build up a country	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">共和國建國於1949年。</td><td style="width: 33.3333%;">The republic was founded in 1949.</td><td style="width: 33.3333%;">gònghéguó jiànguó yú 1949 nián.</td></tr><tr><td style="width: 33.3333%;">建國方略</td><td style="width: 33.3333%;">blueprint for national development</td><td style="width: 33.3333%;">Jiànguó Fānglüè</td></tr><tr><td style="width: 33.3333%;">建國宏圖</td><td style="width: 33.3333%;">grand project for national reconstruction</td><td style="width: 33.3333%;">Jiànguó hóngtú</td></tr></tbody></table>	建國
阻礙	verb hinder; block; impede<br>noun hindrance; obstruction; impediment	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">阻礙交通</td><td style="width: 33.3333%;">block the traffic</td><td style="width: 33.3333%;">zǔ'ài jiāotōng</td></tr><tr><td style="width: 33.3333%;">阻礙生產力的發展</td><td style="width: 33.3333%;">the development of the forces of production</td><td style="width: 33.3333%;">zǔ'ài shēngchǎnlì de fāzhǎn hinder</td></tr><tr><td style="width: 33.3333%;">遇到阻礙</td><td style="width: 33.3333%;">meet with obstruction</td><td style="width: 33.3333%;">yùdào zǔ'ài</td></tr><tr><td style="width: 33.3333%;">缺乏自信阻礙了他的發展。</td><td style="width: 33.3333%;">His career was impeded by a lack of self-confidence.</td><td style="width: 33.3333%;">quēfá zìxìn zǔ'ài le tā de fāzhǎn.</td></tr><tr><td style="width: 33.3333%;">進步道路上的巨大阻礙</td><td style="width: 33.3333%;">a great hindrance to the progress</td><td style="width: 33.3333%;">Jìnbù dàolù shàng de jùdà zǔ'ài</td></tr></tbody></table>	阻礙
歷史性	noun historic; of historic significance	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">歷史性勝利</td><td style="width: 33.3333%;">historic victory</td><td style="width: 33.3333%;">lìshǐxìng shènglì</td></tr><tr><td style="width: 33.3333%;">歷史性轉折</td><td style="width: 33.3333%;">historic transition; turn in history</td><td style="width: 33.3333%;">lìshǐxìng zhuǎnzhé</td></tr></tbody></table>	歷史性
黨派	noun political parties and groups; party groupings	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">黨派關係</td><td style="width: 33.3333%;">party affiliation</td><td style="width: 33.3333%;">dǎngpài guānxi</td></tr></tbody></table>	黨派
條款	noun clause (in a formal document); article; provision	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">法律條款</td><td style="width: 33.3333%;">legal provision</td><td style="width: 33.3333%;">Fǎlǜ tiáokuǎn</td></tr></tbody></table>	條款
移師	verb 1 move the troops 2 (of a sports team, etc.) shift to another site of contest or training centre	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">移師南下</td><td style="width: 33.3333%;">move the troops southward</td><td style="width: 33.3333%;">yíshī nánxià</td></tr></tbody></table>	移師
開庭	verb law open a court session; call the court to order; hold a court (opp. 休庭)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody></tbody></table>	開庭
預料	noun expectation; prediction	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">出乎預料</td><td style="width: 33.3333%;">go beyond expectations</td><td style="width: 33.3333%;">chūhūyùliào</td></tr><tr><td style="width: 33.3333%;">和我們的預料相反</td><td style="width: 33.3333%;">contrary to our expectations verb expect; predict; anticipate</td><td style="width: 33.3333%;">hé wǒmen de yùliào xiāngfǎn</td></tr><tr><td style="width: 33.3333%;">那是預料之中的事。</td><td style="width: 33.3333%;">That’s a matter-of-course.</td><td style="width: 33.3333%;">nàshiyùliào zhīzhōng de shì.</td></tr><tr><td style="width: 33.3333%;">今年的收成比人們預料的要好得多。</td><td style="width: 33.3333%;">This year’s harvest was much better than expected (or anticipated).</td><td style="width: 33.3333%;">Jīnnián de shōucheng bǐ rénmen yùliào de yào hǎo de duō.</td></tr></tbody></table>	預料
掌控	verb control; hold	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">掌控大權</td><td style="width: 33.3333%;">in full power</td><td style="width: 33.3333%;">zhǎngkòng dàquán</td></tr></tbody></table>	掌控
獲	verb 1 capture; catch 2 obtain; win; reap	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">捕獲</td><td style="width: 33.3333%;">capture; seize</td><td style="width: 33.3333%;">bǔhuò</td></tr><tr><td style="width: 33.3333%;">獲一等獎</td><td style="width: 33.3333%;">win the first prize</td><td style="width: 33.3333%;">huò yīděng jiǎng</td></tr></tbody></table>	獲
罷免	verb recall; dismiss	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">因受賄被罷免</td><td style="width: 33.3333%;">be removed (or dismissed) from office for taking bribes</td><td style="width: 33.3333%;">Yīn shòuhuì bèi bàmiǎn</td></tr><tr><td style="width: 33.3333%;">常委由代表大會選舉或者罷免。</td><td style="width: 33.3333%;">Members of the standing committee are elected and subject to recall by the congress.</td><td style="width: 33.3333%;">Cháng-wěi yóu dàibiǎo dàhuì xuǎnjǔ huòzhě bàmiǎn.</td></tr></tbody></table>	罷免
酷熱	adjective (of weather) extremely hot; broiling; scorching torrid	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">天氣酷熱</td><td style="width: 33.3333%;">sweltering hot weather</td><td style="width: 33.3333%;">tiānqì kùrè</td></tr></tbody></table>	酷熱
助長	verb pejorative encourage; abet; foster; foment	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">助長歪風邪氣</td><td style="width: 33.3333%;">encourage bad trends; foster antisocial behaviour</td><td style="width: 33.3333%;">zhùzhǎng wāifēngxiéqì</td></tr><tr><td style="width: 33.3333%;">助長侵略者的野心</td><td style="width: 33.3333%;">whet the ambitions of the aggressors</td><td style="width: 33.3333%;">zhùzhǎng qīnlüèzhě de yěxīn</td></tr><tr><td style="width: 33.3333%;">恭維只會助長他的驕氣。</td><td style="width: 33.3333%;">Flattery will only make him more arrogant.</td><td style="width: 33.3333%;">gōngwei zhǐ huì zhùzhǎng tā de jiāoqì.</td></tr></tbody></table>	助長
前所未有	idiom never existed before; hitherto unknown; unprecedented	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">前所未有的盛況</td><td style="width: 33.3333%;">unprecedentedly grand occasion</td><td style="width: 33.3333%;">Qiánsuǒwèiyǒu de shèngkuàng</td></tr><tr><td style="width: 33.3333%;">遇到前所未有的困難</td><td style="width: 33.3333%;">encounter greater difficulties than ever</td><td style="width: 33.3333%;">yùdào qiánsuǒwèiyǒu de kùnnan</td></tr><tr><td style="width: 33.3333%;">他一人獨得七塊金牌, 這在奧運會歷史上是前所未有的。</td><td style="width: 33.3333%;">He alone got seven gold medals. This is unprecedented in the history of the Olympic Games.</td><td style="width: 33.3333%;">Tā yī rén dúdé qī kuài jīnpái, zhè zài Àoyùnhuì lìshǐ shàng shì qiánsuǒwèiyǒu de.</td></tr></tbody></table>	前所未有
燒毀	verb destroy by fire; burn up; burn down	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">燒毀秘密文件</td><td style="width: 33.3333%;">burn up the secret documents</td><td style="width: 33.3333%;">Shāohuǐ mìmì wénjiàn</td></tr></tbody></table>	燒毀
犯罪	verb commit a crime (or an offence)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">共同犯罪</td><td style="width: 33.3333%;">joint offence</td><td style="width: 33.3333%;">gòngtóng fànzuì</td></tr></tbody></table>	犯罪
迫害	verb persecute; ill-treat	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">迫害致死</td><td style="width: 33.3333%;">persecute sb. to death</td><td style="width: 33.3333%;">pòhài zhìsǐ</td></tr><tr><td style="width: 33.3333%;">遭受迫害</td><td style="width: 33.3333%;">suffer persecution; be persecuted</td><td style="width: 33.3333%;">zāoshòu pòhài</td></tr><tr><td style="width: 33.3333%;">政治迫害</td><td style="width: 33.3333%;">political persecution</td><td style="width: 33.3333%;">Zhèngzhì pòhài</td></tr></tbody></table>	迫害
歧視	verb discriminate against	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">歧視婦女</td><td style="width: 33.3333%;">discriminate against women</td><td style="width: 33.3333%;">qíshì fùnǚ</td></tr><tr><td style="width: 33.3333%;">種族歧視</td><td style="width: 33.3333%;">racial discrimination</td><td style="width: 33.3333%;">zhǒngzú qíshì</td></tr></tbody></table>	歧視
驚奇	adjective wondering; surprised; amazed	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">孩子睜大眼睛, 驚奇地望著魔術師。</td><td style="width: 33.3333%;">The child stared with wonder at the magician.</td><td style="width: 33.3333%;">Háizi zhēng dà yǎnjing, jīngqí de wàngzhe móshùshī.</td></tr></tbody></table>	驚奇
權柄	noun power; authority	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">掌握權柄</td><td style="width: 33.3333%;">be in power; be in the saddle</td><td style="width: 33.3333%;">zhǎngwò quánbǐng</td></tr></tbody></table>	權柄
經紀人	noun broker; middleman; agent	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">外匯經紀人</td><td style="width: 33.3333%;">foreign exchange broker</td><td style="width: 33.3333%;">wàihuì jīngjìrén</td></tr><tr><td style="width: 33.3333%;">房地產經紀人</td><td style="width: 33.3333%;">estate agent</td><td style="width: 33.3333%;">fángdìchǎn jīngjìrén</td></tr></tbody></table>	經紀人
含義	noun meaning; implication	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">這句話含義深刻。</td><td style="width: 33.3333%;">This remark has profound implications.</td><td style="width: 33.3333%;">Zhè jù huà hányì shēnkè.</td></tr><tr><td style="width: 33.3333%;">這個詞用在不同場合有不同的含義。</td><td style="width: 33.3333%;">The meaning of this word varies with different contexts.</td><td style="width: 33.3333%;">Zhège cí yòng zài bùtóng chǎnghé yǒu bùtóng de hányì.</td></tr></tbody></table>	含義
